日付け,終値,始値,高値,安値,前日比%
2021年5月31日,1.4209,1.418,1.4218,1.4164,0.16%
2021年5月28日,1.4187,1.4207,1.4212,1.4136,-0.13%
2021年5月27日,1.4205,1.4122,1.422,1.4091,0.62%
2021年5月26日,1.4118,1.4153,1.4177,1.4111,-0.23%
2021年5月25日,1.4151,1.4157,1.4211,1.4116,-0.03%
2021年5月24日,1.4155,1.4159,1.4173,1.411,0.06%
2021年5月21日,1.4147,1.419,1.4234,1.4139,-0.30%
2021年5月20日,1.4189,1.411,1.4194,1.4101,0.54%
2021年5月19日,1.4113,1.419,1.4202,1.41,-0.52%
2021年5月18日,1.4187,1.4131,1.422,1.4129,0.37%
2021年5月17日,1.4134,1.409,1.4147,1.4076,0.27%
2021年5月14日,1.4096,1.4052,1.4112,1.4036,0.33%
2021年5月13日,1.405,1.4054,1.4079,1.4004,-0.01%
2021年5月12日,1.4052,1.4141,1.4155,1.405,-0.63%
2021年5月11日,1.4141,1.4117,1.4167,1.4103,0.15%
2021年5月10日,1.412,1.398,1.4159,1.3978,1.06%
2021年5月7日,1.3972,1.3887,1.4007,1.3886,0.63%
2021年5月6日,1.3885,1.3903,1.3942,1.3856,-0.13%
2021年5月5日,1.3903,1.3887,1.3927,1.3874,0.13%
2021年5月4日,1.3885,1.3911,1.3916,1.3837,-0.17%
2021年5月3日,1.3909,1.3827,1.3932,1.38,0.69%
2021年4月30日,1.3814,1.3942,1.3959,1.3801,-0.90%
2021年4月29日,1.394,1.3938,1.3978,1.3931,0.06%
2021年4月28日,1.3932,1.3916,1.3951,1.386,0.14%
2021年4月27日,1.3912,1.3898,1.3924,1.3858,0.12%
2021年4月26日,1.3896,1.3873,1.393,1.3864,0.16%
2021年4月23日,1.3874,1.3838,1.3896,1.3834,0.27%
2021年4月22日,1.3836,1.3931,1.3951,1.3823,-0.67%
2021年4月21日,1.3929,1.3937,1.3951,1.3886,-0.05%
2021年4月20日,1.3936,1.3987,1.401,1.3925,-0.34%
