日付け,終値,始値,高値,安値,前日比%
2020年3月27日,1.2456,1.2204,1.2486,1.2131,2.09%
2020年3月26日,1.2201,1.1875,1.2232,1.1775,2.66%
2020年3月25日,1.1885,1.176,1.1976,1.1639,1.09%
2020年3月24日,1.1757,1.1549,1.1801,1.1508,1.81%
2020年3月23日,1.1548,1.166,1.1741,1.1446,-0.80%
2020年3月20日,1.1641,1.1487,1.1934,1.1409,1.36%
2020年3月19日,1.1485,1.1619,1.1794,1.1473,-1.10%
2020年3月18日,1.1613,1.2052,1.2131,1.1461,-3.63%
2020年3月17日,1.205,1.227,1.2275,1.2002,-1.76%
2020年3月16日,1.2266,1.2285,1.2431,1.2201,-0.08%
2020年3月13日,1.2276,1.2574,1.2626,1.2268,-2.35%
2020年3月12日,1.2571,1.2818,1.2851,1.249,-1.94%
2020年3月11日,1.282,1.2904,1.2977,1.2804,-0.67%
2020年3月10日,1.2906,1.313,1.3133,1.2881,-1.71%
2020年3月9日,1.3131,1.3047,1.3201,1.3031,0.64%
2020年3月6日,1.3047,1.2954,1.3058,1.2943,0.72%
2020年3月5日,1.2954,1.2872,1.2969,1.2859,0.65%
2020年3月4日,1.287,1.2812,1.2874,1.277,0.47%
2020年3月3日,1.281,1.2752,1.2845,1.2738,0.47%
2020年3月2日,1.275,1.28,1.2852,1.2739,-0.55%
2020年2月28日,1.282,1.2885,1.2921,1.2725,-0.50%
2020年2月27日,1.2884,1.2907,1.2947,1.2859,-0.15%
2020年2月26日,1.2903,1.3005,1.3013,1.2895,-0.78%
2020年2月25日,1.3004,1.2924,1.3019,1.2914,0.60%
2020年2月24日,1.2927,1.296,1.2973,1.2886,-0.32%
2020年2月21日,1.2969,1.2884,1.2982,1.2877,0.70%
2020年2月20日,1.2879,1.2922,1.293,1.2848,-0.31%
2020年2月19日,1.2919,1.2998,1.3024,1.2907,-0.61%
2020年2月18日,1.2998,1.3007,1.3049,1.297,-0.06%
2020年2月17日,1.3006,1.3036,1.3055,1.2998,-0.31%
2020年2月14日,1.3046,1.3051,1.3065,1.3001,0.01%
2020年2月13日,1.3045,1.296,1.307,1.2944,0.66%
2020年2月12日,1.296,1.2952,1.2993,1.2947,0.07%
2020年2月11日,1.2951,1.2915,1.2969,1.2895,0.29%
2020年2月10日,1.2913,1.2897,1.2947,1.2872,0.17%
2020年2月7日,1.2891,1.293,1.296,1.2881,-0.29%
2020年2月6日,1.2928,1.2999,1.3005,1.2921,-0.55%
2020年2月5日,1.3,1.3033,1.3071,1.2956,-0.22%
2020年2月4日,1.3029,1.2996,1.3047,1.294,0.28%
2020年2月3日,1.2993,1.3217,1.3217,1.2982,-1.56%
2020年1月31日,1.3199,1.3099,1.321,1.3083,0.80%
2020年1月30日,1.3094,1.302,1.3111,1.2977,0.57%
2020年1月29日,1.302,1.3028,1.3032,1.2989,-0.05%
2020年1月28日,1.3027,1.3055,1.3067,1.2975,-0.20%
2020年1月27日,1.3053,1.3075,1.3105,1.304,-0.18%
2020年1月24日,1.3076,1.3122,1.3174,1.3056,-0.34%
2020年1月23日,1.3121,1.3142,1.3152,1.3096,-0.14%
2020年1月22日,1.314,1.3051,1.3154,1.3034,0.71%
2020年1月21日,1.3047,1.3013,1.3085,1.2995,0.29%
2020年1月20日,1.3009,1.3002,1.3014,1.2961,0.01%
2020年1月17日,1.3008,1.308,1.3119,1.3005,-0.52%
2020年1月16日,1.3076,1.3039,1.3084,1.3024,0.31%
2020年1月15日,1.3036,1.3018,1.3044,1.2986,0.15%
2020年1月14日,1.3017,1.2988,1.3034,1.2953,0.22%
2020年1月13日,1.2988,1.3055,1.3064,1.296,-0.54%
2020年1月10日,1.3059,1.3067,1.3097,1.3041,-0.05%
2020年1月9日,1.3065,1.3101,1.3125,1.3012,-0.24%
2020年1月8日,1.3097,1.3125,1.3171,1.308,-0.20%
2020年1月7日,1.3123,1.3168,1.3213,1.3095,-0.33%
2020年1月6日,1.3167,1.3075,1.3175,1.3063,0.62%
2020年1月3日,1.3086,1.3138,1.3162,1.3053,-0.44%
2020年1月2日,1.3144,1.3255,1.3268,1.3115,-0.83%
2020年1月1日,1.3254,1.3261,1.3276,1.3237,-0.04%
2019年12月31日,1.3259,1.3117,1.3285,1.3106,1.11%
2019年12月30日,1.3113,1.3066,1.3152,1.3066,0.28%
2019年12月27日,1.3076,1.2992,1.3118,1.2967,0.65%
2019年12月26日,1.2992,1.2961,1.3017,1.2952,0.25%
2019年12月25日,1.296,1.2943,1.299,1.2921,0.12%
2019年12月24日,1.2944,1.2936,1.2972,1.2912,0.09%
2019年12月23日,1.2933,1.2994,1.3033,1.2904,-0.53%
2019年12月20日,1.3002,1.301,1.3081,1.2978,-0.04%
2019年12月19日,1.3007,1.3079,1.3133,1.2989,-0.53%
2019年12月18日,1.3076,1.3129,1.3136,1.3059,-0.40%
2019年12月17日,1.3128,1.333,1.334,1.3099,-1.51%
2019年12月16日,1.3329,1.3336,1.3423,1.332,0.03%
2019年12月13日,1.3325,1.3168,1.3516,1.316,1.24%
2019年12月12日,1.3162,1.3203,1.323,1.3051,-0.23%
2019年12月11日,1.3193,1.3157,1.3214,1.3106,0.30%
2019年12月10日,1.3154,1.3151,1.3217,1.3132,0.08%
2019年12月9日,1.3143,1.3139,1.3182,1.3117,0.06%
2019年12月6日,1.3135,1.3157,1.3167,1.31,-0.15%
2019年12月5日,1.3155,1.3104,1.3168,1.3102,0.40%
2019年12月4日,1.3103,1.2993,1.3122,1.2981,0.85%
2019年12月3日,1.2992,1.294,1.3012,1.293,0.43%
2019年12月2日,1.2936,1.2917,1.2951,1.2895,0.02%
2019年11月29日,1.2933,1.2911,1.2948,1.2879,0.17%
2019年11月28日,1.2911,1.2921,1.2952,1.2898,-0.08%
2019年11月27日,1.2921,1.2866,1.2924,1.2826,0.44%
2019年11月26日,1.2865,1.2899,1.291,1.2836,-0.26%
2019年11月25日,1.2898,1.2851,1.2913,1.284,0.53%
2019年11月22日,1.283,1.2915,1.293,1.2823,-0.64%
2019年11月21日,1.2913,1.2924,1.2972,1.2893,-0.07%
2019年11月20日,1.2922,1.2924,1.2933,1.2887,0.00%
2019年11月19日,1.2922,1.2954,1.2971,1.2909,-0.23%
2019年11月18日,1.2952,1.2905,1.2986,1.29,0.41%
2019年11月15日,1.2899,1.2881,1.2921,1.2866,0.14%
2019年11月14日,1.2881,1.2851,1.2889,1.2824,0.25%
2019年11月13日,1.2849,1.2848,1.2865,1.2822,0.04%
2019年11月12日,1.2844,1.2855,1.2875,1.2815,-0.05%
2019年11月11日,1.2851,1.2777,1.2898,1.2777,0.63%
2019年11月8日,1.277,1.2813,1.2826,1.2768,-0.34%
2019年11月7日,1.2813,1.2853,1.2879,1.2794,-0.29%
2019年11月6日,1.285,1.2885,1.2898,1.2844,-0.25%
2019年11月5日,1.2882,1.2884,1.2918,1.2859,0.00%
2019年11月4日,1.2882,1.2944,1.2948,1.2875,-0.40%
2019年11月1日,1.2934,1.294,1.2974,1.2926,-0.05%
2019年10月31日,1.294,1.2904,1.2976,1.2894,0.30%
2019年10月30日,1.2901,1.2869,1.2909,1.2845,0.28%
2019年10月29日,1.2865,1.2865,1.2905,1.2806,0.02%
2019年10月28日,1.2862,1.2825,1.2878,1.281,0.32%
2019年10月25日,1.2821,1.2852,1.2864,1.2803,-0.23%
2019年10月24日,1.285,1.2912,1.2952,1.2788,-0.51%
2019年10月23日,1.2916,1.2872,1.2923,1.284,0.34%
2019年10月22日,1.2872,1.2959,1.3001,1.2861,-0.66%
2019年10月21日,1.2958,1.2925,1.3013,1.2874,-0.10%
2019年10月18日,1.2971,1.289,1.2987,1.2838,0.64%
2019年10月17日,1.2888,1.2832,1.299,1.275,0.45%
2019年10月16日,1.283,1.2787,1.2877,1.2656,0.34%
2019年10月15日,1.2786,1.2609,1.28,1.2602,1.43%
2019年10月14日,1.2606,1.2625,1.2654,1.2515,-0.32%
2019年10月11日,1.2647,1.2441,1.2708,1.2407,1.66%
2019年10月10日,1.244,1.2206,1.247,1.2205,1.93%
2019年10月9日,1.2204,1.2219,1.2292,1.2198,-0.11%
2019年10月8日,1.2217,1.2292,1.2304,1.2194,-0.59%
2019年10月7日,1.229,1.2326,1.2338,1.2286,-0.34%
2019年10月4日,1.2332,1.2333,1.2358,1.2276,0.03%
2019年10月3日,1.2328,1.2306,1.2414,1.2265,0.23%
2019年10月2日,1.23,1.2307,1.2325,1.2227,-0.01%
2019年10月1日,1.2301,1.2287,1.2342,1.2206,0.11%
2019年9月30日,1.2287,1.2289,1.2348,1.2275,-0.01%
2019年9月27日,1.2288,1.2322,1.2338,1.227,-0.28%
2019年9月26日,1.2322,1.2356,1.2382,1.2302,-0.22%
2019年9月25日,1.2349,1.2484,1.25,1.2347,-1.11%
2019年9月24日,1.2488,1.2429,1.2503,1.2414,0.47%
2019年9月23日,1.2429,1.2469,1.2492,1.2413,-0.38%
2019年9月20日,1.2477,1.2524,1.2583,1.2459,-0.38%
2019年9月19日,1.2524,1.2473,1.256,1.2438,0.45%
2019年9月18日,1.2468,1.2502,1.2514,1.2438,-0.26%
2019年9月17日,1.25,1.2437,1.2528,1.2392,0.58%
2019年9月16日,1.2428,1.2501,1.2511,1.2399,-0.58%
2019年9月13日,1.25,1.2335,1.2507,1.2327,1.36%
2019年9月12日,1.2332,1.2325,1.2368,1.2283,0.05%
2019年9月11日,1.2326,1.2349,1.2372,1.2312,-0.16%
2019年9月10日,1.2346,1.2347,1.2377,1.2306,0.01%
2019年9月9日,1.2345,1.2273,1.2385,1.2233,0.52%
2019年9月6日,1.2281,1.2331,1.2345,1.2278,-0.39%
2019年9月5日,1.2329,1.2253,1.2355,1.221,0.64%
2019年9月4日,1.225,1.2078,1.2259,1.2076,1.37%
2019年9月3日,1.2084,1.2067,1.2106,1.1958,0.15%
2019年9月2日,1.2066,1.2149,1.2176,1.2034,-0.74%
2019年8月30日,1.2156,1.218,1.2226,1.2139,-0.26%
2019年8月29日,1.2188,1.2211,1.2234,1.2171,-0.17%
2019年8月28日,1.2209,1.229,1.2293,1.2156,-0.63%
2019年8月27日,1.2287,1.2219,1.231,1.2208,0.59%
2019年8月26日,1.2215,1.2264,1.2287,1.2207,-0.51%
2019年8月23日,1.2277,1.2251,1.2294,1.2194,0.22%
2019年8月22日,1.225,1.2128,1.2273,1.2107,1.02%
2019年8月21日,1.2126,1.217,1.2177,1.2112,-0.35%
2019年8月20日,1.2168,1.2127,1.2183,1.2064,0.35%
2019年8月19日,1.2125,1.2148,1.2174,1.2104,-0.20%
2019年8月16日,1.2149,1.2086,1.2177,1.2076,0.54%
2019年8月15日,1.2084,1.2062,1.2151,1.2049,0.21%
2019年8月14日,1.2059,1.2058,1.2102,1.2045,0.01%
2019年8月13日,1.2058,1.2076,1.2098,1.2041,-0.12%
2019年8月12日,1.2073,1.2048,1.2107,1.2014,0.32%
2019年8月9日,1.2034,1.2126,1.2155,1.2024,-0.80%
2019年8月8日,1.2131,1.2141,1.2184,1.2095,-0.07%
2019年8月7日,1.214,1.217,1.2192,1.212,-0.21%
2019年8月6日,1.2166,1.2145,1.2211,1.2133,0.21%
2019年8月5日,1.2141,1.2143,1.219,1.2101,-0.11%
2019年8月2日,1.2154,1.2135,1.217,1.209,0.19%
2019年8月1日,1.2131,1.2155,1.2171,1.2078,-0.21%
2019年7月31日,1.2157,1.2154,1.225,1.2134,0.07%
2019年7月30日,1.2149,1.222,1.2228,1.2119,-0.56%
2019年7月29日,1.2217,1.2386,1.2389,1.2212,-1.32%
2019年7月26日,1.238,1.2464,1.2464,1.2376,-0.59%
2019年7月25日,1.2454,1.2484,1.2519,1.2436,-0.22%
2019年7月24日,1.2481,1.2438,1.2523,1.2426,0.36%
2019年7月23日,1.2436,1.2473,1.2483,1.2418,-0.30%
2019年7月22日,1.2474,1.2508,1.2522,1.2455,-0.21%
2019年7月19日,1.25,1.2551,1.2557,1.2477,-0.37%
2019年7月18日,1.2546,1.2433,1.2559,1.2426,0.93%
2019年7月17日,1.2431,1.2407,1.2457,1.2382,0.23%
2019年7月16日,1.2403,1.2515,1.2522,1.2395,-0.89%
2019年7月15日,1.2514,1.2573,1.2581,1.2509,-0.47%
2019年7月12日,1.2573,1.252,1.258,1.2517,0.43%
2019年7月11日,1.2519,1.2499,1.2572,1.2498,0.16%
2019年7月10日,1.2499,1.2468,1.2522,1.2443,0.27%
2019年7月9日,1.2465,1.2514,1.2524,1.244,-0.36%
2019年7月8日,1.251,1.2517,1.2541,1.2499,-0.10%
2019年7月5日,1.2523,1.2581,1.2588,1.248,-0.42%
2019年7月4日,1.2576,1.2573,1.2593,1.2567,0.04%
2019年7月3日,1.2571,1.2592,1.2603,1.2557,-0.16%
2019年7月2日,1.2591,1.2641,1.2654,1.2583,-0.37%
2019年7月1日,1.2638,1.2695,1.2708,1.2631,-0.43%
2019年6月28日,1.2693,1.2677,1.2736,1.2663,0.14%
2019年6月27日,1.2675,1.2687,1.2725,1.2661,-0.10%
2019年6月26日,1.2688,1.27,1.2708,1.2663,-0.07%
2019年6月25日,1.2697,1.2742,1.2785,1.2671,-0.33%
2019年6月24日,1.2739,1.2722,1.2767,1.2708,-0.01%
2019年6月21日,1.274,1.2701,1.275,1.2642,0.32%
2019年6月20日,1.2699,1.2642,1.2729,1.2632,0.47%
2019年6月19日,1.2639,1.2558,1.2674,1.2542,0.66%
2019年6月18日,1.2556,1.2534,1.2566,1.2506,0.19%
2019年6月17日,1.2532,1.26,1.2607,1.2531,-0.46%
2019年6月14日,1.259,1.2676,1.2684,1.2579,-0.65%
2019年6月13日,1.2672,1.269,1.2709,1.2661,-0.11%
2019年6月12日,1.2686,1.2724,1.2759,1.268,-0.28%
2019年6月11日,1.2722,1.2686,1.2734,1.2669,0.31%
2019年6月10日,1.2683,1.2731,1.2748,1.2653,-0.40%
2019年6月7日,1.2734,1.2702,1.2764,1.2687,0.28%
2019年6月6日,1.2699,1.2684,1.2743,1.2667,0.12%
2019年6月5日,1.2684,1.2697,1.2744,1.2679,-0.09%
2019年6月4日,1.2696,1.2665,1.2716,1.2642,0.26%
2019年6月3日,1.2663,1.2627,1.2675,1.2609,0.25%
2019年5月31日,1.2631,1.2608,1.2645,1.2558,0.20%
2019年5月30日,1.2606,1.2627,1.2641,1.2579,-0.15%
2019年5月29日,1.2625,1.2654,1.2672,1.2611,-0.21%
2019年5月28日,1.2652,1.2679,1.2702,1.265,-0.20%
2019年5月27日,1.2677,1.2727,1.2756,1.2666,-0.28%
2019年5月24日,1.2712,1.2657,1.2734,1.2646,0.46%
2019年5月23日,1.2654,1.2663,1.2685,1.2605,-0.06%
2019年5月22日,1.2661,1.2706,1.2722,1.2623,-0.35%
2019年5月21日,1.2705,1.273,1.2815,1.2685,-0.17%
2019年5月20日,1.2726,1.2721,1.2759,1.2714,0.06%
2019年5月17日,1.2718,1.2797,1.2809,1.2713,-0.60%
2019年5月16日,1.2795,1.2843,1.2864,1.2787,-0.41%
2019年5月15日,1.2848,1.2908,1.2924,1.2825,-0.43%
2019年5月14日,1.2904,1.2958,1.2973,1.2902,-0.39%
2019年5月13日,1.2955,1.2998,1.3042,1.294,-0.34%
2019年5月10日,1.2999,1.3008,1.3048,1.299,-0.11%
2019年5月9日,1.3013,1.3007,1.3037,1.2967,0.05%
2019年5月8日,1.3006,1.3077,1.3082,1.2987,-0.52%
2019年5月7日,1.3074,1.3097,1.3133,1.3039,-0.16%
2019年5月6日,1.3095,1.3114,1.3171,1.3081,-0.58%
2019年5月3日,1.3171,1.3033,1.3178,1.2989,1.05%
2019年5月2日,1.3034,1.305,1.3082,1.3017,-0.11%
2019年5月1日,1.3049,1.3033,1.3103,1.3029,0.14%
2019年4月30日,1.3031,1.2939,1.305,1.2924,0.73%
2019年4月29日,1.2936,1.2926,1.2947,1.2904,0.15%
2019年4月26日,1.2917,1.2899,1.2945,1.2876,0.16%
2019年4月25日,1.2897,1.2902,1.2918,1.2865,-0.02%
2019年4月24日,1.29,1.2938,1.2965,1.2888,-0.29%
2019年4月23日,1.2937,1.2981,1.302,1.2928,-0.35%
2019年4月22日,1.2982,1.2995,1.3002,1.2974,-0.05%
2019年4月19日,1.2988,1.2998,1.3015,1.2982,-0.06%
2019年4月18日,1.2996,1.3042,1.3054,1.2979,-0.36%
2019年4月17日,1.3043,1.3049,1.3069,1.3029,-0.04%
2019年4月16日,1.3048,1.3102,1.3113,1.3042,-0.37%
2019年4月15日,1.3097,1.3076,1.312,1.3065,0.12%
2019年4月12日,1.3081,1.3061,1.3133,1.3049,0.21%
2019年4月11日,1.3054,1.3092,1.311,1.305,-0.27%
2019年4月10日,1.3089,1.3058,1.3122,1.3043,0.22%
2019年4月9日,1.306,1.3065,1.3123,1.303,-0.02%
2019年4月8日,1.3062,1.3036,1.3076,1.3021,0.20%
2019年4月5日,1.3036,1.3079,1.3124,1.2987,-0.31%
2019年4月4日,1.3077,1.3161,1.3192,1.306,-0.62%
2019年4月3日,1.3159,1.3127,1.3197,1.3121,0.24%
2019年4月2日,1.3127,1.3102,1.3151,1.3013,0.21%
2019年4月1日,1.3099,1.3038,1.3151,1.3009,0.52%
2019年3月29日,1.3031,1.3046,1.3137,1.2978,-0.09%
2019年3月28日,1.3043,1.3189,1.3217,1.3034,-1.11%
2019年3月27日,1.3189,1.3208,1.327,1.3166,-0.14%
2019年3月26日,1.3207,1.3194,1.3263,1.3158,0.04%
2019年3月25日,1.3202,1.3207,1.3247,1.316,-0.05%
2019年3月22日,1.3209,1.3109,1.3225,1.3081,0.78%
2019年3月21日,1.3107,1.3196,1.323,1.3004,-0.67%
2019年3月20日,1.3196,1.3269,1.3283,1.3145,-0.54%
2019年3月19日,1.3267,1.3256,1.3312,1.324,0.09%
2019年3月18日,1.3255,1.3288,1.3302,1.3183,-0.26%
2019年3月15日,1.3289,1.324,1.3302,1.3202,0.38%
2019年3月14日,1.3239,1.3341,1.3342,1.3207,-0.73%
2019年3月13日,1.3337,1.3076,1.3384,1.3059,2.02%
2019年3月12日,1.3073,1.3151,1.329,1.3004,-0.59%
2019年3月11日,1.3151,1.3018,1.3172,1.2948,1.04%
2019年3月8日,1.3015,1.3085,1.311,1.2989,-0.53%
2019年3月7日,1.3084,1.317,1.3187,1.3068,-0.65%
2019年3月6日,1.3169,1.318,1.3182,1.3124,-0.05%
2019年3月5日,1.3175,1.3177,1.3199,1.3097,-0.08%
2019年3月4日,1.3186,1.3238,1.3275,1.3166,-0.12%
2019年3月1日,1.3202,1.3262,1.3288,1.3171,-0.44%
2019年2月28日,1.3261,1.3309,1.3326,1.3253,-0.35%
2019年2月27日,1.3308,1.325,1.335,1.3233,0.44%
2019年2月26日,1.325,1.3089,1.329,1.3089,1.18%
2019年2月25日,1.3095,1.3074,1.3115,1.304,0.33%
2019年2月22日,1.3052,1.3045,1.3082,1.2967,0.02%
2019年2月21日,1.3049,1.3051,1.3096,1.3025,0.00%
2019年2月20日,1.3049,1.3062,1.311,1.3011,-0.10%
2019年2月19日,1.3062,1.2923,1.3075,1.2895,1.09%
2019年2月18日,1.2921,1.2891,1.2939,1.2891,0.25%
2019年2月15日,1.2889,1.2808,1.2899,1.2784,0.61%
2019年2月14日,1.2811,1.2845,1.2879,1.2772,-0.26%
2019年2月13日,1.2844,1.2893,1.296,1.2845,-0.36%
2019年2月12日,1.289,1.2859,1.291,1.2832,0.32%
2019年2月11日,1.2849,1.2949,1.2957,1.2845,-0.76%
2019年2月8日,1.2947,1.2954,1.2977,1.2921,-0.05%
2019年2月7日,1.2953,1.2933,1.2997,1.2853,0.16%
2019年2月6日,1.2932,1.295,1.2981,1.2925,-0.08%
2019年2月5日,1.2942,1.3039,1.3056,1.2924,-0.71%
2019年2月4日,1.3035,1.3085,1.3104,1.3029,-0.37%
2019年2月1日,1.3083,1.3107,1.3116,1.3043,-0.13%
2019年1月31日,1.31,1.3116,1.3161,1.3097,-0.12%
2019年1月30日,1.3116,1.3066,1.3147,1.3053,0.38%
2019年1月29日,1.3066,1.3168,1.32,1.3056,-0.73%
2019年1月28日,1.3162,1.3194,1.3214,1.3137,-0.30%
2019年1月25日,1.3201,1.3065,1.3218,1.3055,1.05%
2019年1月24日,1.3064,1.3068,1.3096,1.3011,-0.02%
2019年1月23日,1.3067,1.2959,1.3082,1.2943,0.85%
2019年1月22日,1.2957,1.289,1.2976,1.2855,0.52%
2019年1月21日,1.289,1.2883,1.2912,1.283,0.13%
2019年1月18日,1.2873,1.2986,1.2995,1.2856,-0.85%
2019年1月17日,1.2984,1.2886,1.3002,1.2832,0.80%
2019年1月16日,1.2881,1.286,1.2898,1.2824,0.18%
2019年1月15日,1.2858,1.2862,1.2917,1.267,-0.04%
2019年1月14日,1.2863,1.2848,1.2931,1.2817,0.17%
2019年1月11日,1.2841,1.2758,1.2867,1.2709,0.74%
2019年1月10日,1.2747,1.2789,1.2802,1.2728,-0.32%
2019年1月9日,1.2788,1.2717,1.2806,1.2711,0.56%
2019年1月8日,1.2717,1.278,1.2798,1.2706,-0.48%
2019年1月7日,1.2778,1.273,1.2788,1.2717,0.41%
2019年1月4日,1.2726,1.2629,1.2745,1.2615,0.75%
2019年1月3日,1.2631,1.2605,1.2649,1.2438,0.19%
2019年1月2日,1.2607,1.2742,1.2776,1.2581,-1.13%
2019年1月1日,1.2751,1.2761,1.2765,1.2725,-0.05%
2018年12月31日,1.2757,1.2682,1.2816,1.268,0.41%
2018年12月28日,1.2705,1.2644,1.2711,1.2634,0.50%
2018年12月27日,1.2642,1.2632,1.2676,1.2615,0.08%
2018年12月26日,1.2632,1.2674,1.2721,1.263,-0.41%
2018年12月25日,1.2684,1.2724,1.2728,1.2665,-0.30%
2018年12月24日,1.2722,1.2652,1.2744,1.2629,0.73%
2018年12月21日,1.263,1.2658,1.2699,1.2617,-0.20%
2018年12月20日,1.2655,1.261,1.2708,1.2608,0.38%
2018年12月19日,1.2607,1.264,1.268,1.2607,-0.29%
2018年12月18日,1.2644,1.2624,1.2707,1.2609,0.15%
2018年12月17日,1.2625,1.2591,1.2648,1.2569,0.33%
2018年12月14日,1.2583,1.2656,1.2676,1.2529,-0.57%
2018年12月13日,1.2655,1.2635,1.2687,1.2609,0.21%
2018年12月12日,1.2629,1.2488,1.2673,1.2477,1.16%
2018年12月11日,1.2484,1.2564,1.2639,1.2479,-0.60%
2018年12月10日,1.2559,1.2729,1.276,1.2507,-1.31%
2018年12月7日,1.2726,1.2785,1.2813,1.271,-0.44%
2018年12月6日,1.2782,1.2733,1.2813,1.2699,0.40%
2018年12月5日,1.2731,1.2724,1.2799,1.2671,0.10%
2018年12月4日,1.2718,1.2724,1.2841,1.2659,-0.03%
2018年12月3日,1.2722,1.2768,1.2826,1.2699,-0.23%
2018年11月30日,1.2751,1.2792,1.281,1.2735,-0.32%
2018年11月29日,1.2792,1.2824,1.2852,1.2754,-0.25%
2018年11月28日,1.2824,1.2746,1.2849,1.2731,0.60%
2018年11月27日,1.2747,1.2835,1.2836,1.2724,-0.67%
2018年11月26日,1.2833,1.2853,1.2865,1.2795,0.16%
2018年11月23日,1.2812,1.2879,1.2884,1.2799,-0.50%
2018年11月22日,1.2876,1.2776,1.2929,1.2768,0.79%
2018年11月21日,1.2775,1.2788,1.2821,1.2763,-0.09%
2018年11月20日,1.2786,1.2852,1.2884,1.2775,-0.49%
2018年11月19日,1.2849,1.2829,1.2885,1.2795,0.09%
2018年11月16日,1.2837,1.2773,1.2879,1.2759,0.49%
2018年11月15日,1.2774,1.2991,1.3031,1.2724,-1.69%
2018年11月14日,1.2994,1.2979,1.3073,1.2885,0.18%
2018年11月13日,1.2971,1.2849,1.3048,1.284,0.97%
2018年11月12日,1.2847,1.296,1.2967,1.2826,-0.98%
2018年11月9日,1.2974,1.3062,1.3082,1.2958,-0.67%
2018年11月8日,1.3061,1.3127,1.3151,1.3045,-0.48%
2018年11月7日,1.3124,1.3102,1.3176,1.3073,0.21%
2018年11月6日,1.3097,1.3041,1.3109,1.302,0.44%
2018年11月5日,1.304,1.3025,1.3064,1.2965,0.54%
2018年11月2日,1.297,1.3011,1.3042,1.295,-0.30%
2018年11月1日,1.3009,1.2769,1.3037,1.276,1.91%
2018年10月31日,1.2765,1.2707,1.2832,1.2698,0.48%
2018年10月30日,1.2704,1.2793,1.2814,1.2695,-0.68%
2018年10月29日,1.2791,1.2828,1.2854,1.2791,-0.31%
2018年10月26日,1.2831,1.2817,1.2843,1.2776,0.12%
2018年10月25日,1.2815,1.2883,1.2921,1.2797,-0.50%
2018年10月24日,1.288,1.2983,1.2995,1.2866,-0.79%
2018年10月23日,1.2982,1.2966,1.3045,1.2937,0.16%
2018年10月22日,1.2961,1.3068,1.3092,1.2955,-0.83%
2018年10月19日,1.307,1.3018,1.3105,1.301,0.40%
2018年10月18日,1.3018,1.3113,1.3132,1.3015,-0.74%
2018年10月17日,1.3115,1.3183,1.3194,1.31,-0.55%
2018年10月16日,1.3187,1.3153,1.3237,1.3141,0.26%
2018年10月15日,1.3153,1.314,1.3183,1.3079,-0.02%
2018年10月12日,1.3155,1.3225,1.3259,1.3149,-0.61%
2018年10月11日,1.3236,1.3196,1.3249,1.3182,0.30%
2018年10月10日,1.3196,1.3143,1.3217,1.3134,0.40%
2018年10月9日,1.3144,1.3091,1.3152,1.3032,0.41%
2018年10月8日,1.309,1.3108,1.3136,1.3028,-0.25%
2018年10月5日,1.3123,1.3019,1.3126,1.3002,0.79%
2018年10月4日,1.302,1.2941,1.3042,1.2921,0.62%
2018年10月3日,1.294,1.2979,1.3024,1.2924,-0.30%
2018年10月2日,1.2979,1.3044,1.3057,1.294,-0.49%
2018年10月1日,1.3043,1.3031,1.3112,1.3011,0.09%
2018年9月28日,1.3031,1.3081,1.3093,1.3,-0.39%
2018年9月27日,1.3082,1.3168,1.3188,1.3075,-0.67%
2018年9月26日,1.317,1.3185,1.3219,1.3138,-0.10%
2018年9月25日,1.3183,1.3121,1.3195,1.3094,0.47%
2018年9月24日,1.3121,1.3069,1.3169,1.3055,0.34%
2018年9月21日,1.3077,1.3268,1.3278,1.3054,-1.43%
2018年9月20日,1.3267,1.3144,1.3299,1.3135,0.94%
2018年9月19日,1.3144,1.315,1.3216,1.3095,-0.04%
2018年9月18日,1.3149,1.3158,1.3174,1.3118,-0.07%
2018年9月17日,1.3158,1.3069,1.3168,1.3069,0.69%
2018年9月14日,1.3068,1.3107,1.3143,1.3055,-0.30%
2018年9月13日,1.3107,1.3047,1.3123,1.3026,0.45%
2018年9月12日,1.3048,1.3033,1.3081,1.298,0.10%
2018年9月11日,1.3035,1.3027,1.3089,1.297,0.06%
2018年9月10日,1.3027,1.2935,1.3053,1.2896,0.80%
2018年9月7日,1.2924,1.2933,1.3031,1.291,-0.06%
2018年9月6日,1.2932,1.2905,1.2963,1.2895,0.22%
2018年9月5日,1.2904,1.2854,1.2984,1.2785,0.37%
2018年9月4日,1.2856,1.2867,1.2884,1.2811,-0.12%
2018年9月3日,1.2872,1.2971,1.2971,1.2854,-0.70%
2018年8月31日,1.2963,1.3014,1.3031,1.2947,-0.36%
2018年8月30日,1.301,1.3027,1.3045,1.2985,-0.13%
2018年8月29日,1.3027,1.2876,1.3034,1.2846,1.16%
2018年8月28日,1.2877,1.2893,1.2933,1.2861,-0.12%
2018年8月27日,1.2893,1.284,1.2903,1.2829,0.37%
2018年8月24日,1.2845,1.2815,1.2883,1.2799,0.26%
2018年8月23日,1.2812,1.2912,1.292,1.2804,-0.77%
2018年8月22日,1.2911,1.2905,1.2938,1.2868,0.08%
2018年8月21日,1.2901,1.2796,1.2928,1.2793,0.80%
2018年8月20日,1.2798,1.274,1.2801,1.273,0.36%
2018年8月17日,1.2752,1.2716,1.2755,1.2698,0.26%
2018年8月16日,1.2719,1.2696,1.2756,1.2687,0.17%
